rank,Termo,Tipo,Ocorrências,Por 1.000 tokens
1,AI,unigrama,65,22.7
2,Development,unigrama,37,12.92
3,Promote,unigrama,34,11.88
4,Application,unigrama,32,11.18
5,Intelligent,unigrama,32,11.18
6,Strengthen,unigrama,29,10.13
7,Model,unigrama,26,9.08
8,Service,unigrama,26,9.08
9,Accelerate,unigrama,23,8.03
10,Industry,unigrama,18,6.29
11,System,unigrama,18,6.29
12,Governance,unigrama,15,5.24
13,Technology,unigrama,15,5.24
14,Smart,unigrama,15,5.24
15,Capability,unigrama,15,5.24
16,Research,unigrama,12,4.19
17,Innovation,unigrama,12,4.19
18,Production,unigrama,11,3.84
19,Explore,unigrama,11,3.84
20,Coordination,unigrama,10,3.49
21,Data,unigrama,10,3.49
22,Create,unigrama,10,3.49
23,Improve,unigrama,10,3.49
24,Build,unigrama,10,3.49
25,Compute,unigrama,10,3.49
26,National,unigrama,9,3.14
27,Open-source,unigrama,9,3.14
28,Talent,unigrama,9,3.14
29,Management,unigrama,9,3.14
30,Encourage,unigrama,9,3.14
31,Security,unigrama,9,3.14
32,Consumption,unigrama,9,3.14
33,Enhance,unigrama,8,2.79
34,Product,unigrama,8,2.79
35,Develop,unigrama,8,2.79
36,Global,unigrama,7,2.44
37,AI Application,bigrama,7,2.44
38,Agricultural,unigrama,7,2.44
39,Risk,unigrama,7,2.44
40,Resource,unigrama,7,2.44
41,Role,unigrama,7,2.44
42,Scientific,unigrama,7,2.44
43,Government,unigrama,7,2.44
44,Society,unigrama,7,2.44
45,Industrial,unigrama,7,2.44
46,Device,unigrama,7,2.44
47,Infrastructure,unigrama,6,2.1
48,Process,unigrama,6,2.1
49,Refine,unigrama,6,2.1
50,Terminal Device,bigrama,6,2.1
