rank,Termo,Tipo,Ocorrências,Por 1.000 tokens
1,AI,unigrama,309,41.39
2,Sector,unigrama,64,8.57
3,Development,unigrama,38,5.09
4,Model,unigrama,35,4.69
5,Strategy,unigrama,33,4.42
6,Solution,unigrama,29,3.88
7,Public,unigrama,26,3.48
8,Data,unigrama,24,3.21
9,Energy,unigrama,23,3.08
10,Potential,unigrama,23,3.08
11,Action,unigrama,23,3.08
12,Policy,unigrama,23,3.08
13,Use,unigrama,22,2.95
14,Innovation,unigrama,22,2.95
15,Security,unigrama,21,2.81
16,Initiative,unigrama,21,2.81
17,AI Model,bigrama,20,2.68
18,System,unigrama,20,2.68
19,Defence,unigrama,20,2.68
20,Technology,unigrama,20,2.68
21,Digital,unigrama,20,2.68
22,Strategic,unigrama,19,2.54
23,Tool,unigrama,18,2.41
24,Adoption,unigrama,18,2.41
25,Service,unigrama,18,2.41
26,Sectoral,unigrama,17,2.28
27,AI Solution,bigrama,17,2.28
28,Impact,unigrama,17,2.28
29,Integration,unigrama,16,2.14
30,Address,unigrama,16,2.14
31,Uptake,unigrama,16,2.14
32,Frontier,unigrama,16,2.14
33,Act,unigrama,16,2.14
34,Healthcare,unigrama,16,2.14
35,Market,unigrama,15,2.01
36,Deployment,unigrama,15,2.01
37,Manufacturing,unigrama,14,1.88
38,Improve,unigrama,14,1.88
39,Enable,unigrama,14,1.88
40,Research,unigrama,14,1.88
41,Foster,unigrama,14,1.88
42,Skill,unigrama,14,1.88
43,Build,unigrama,14,1.88
44,Challenge,unigrama,13,1.74
45,Help,unigrama,13,1.74
46,Enhance,unigrama,13,1.74
47,Open,unigrama,13,1.74
48,Infrastructure,unigrama,13,1.74
49,Accelerate,unigrama,13,1.74
50,Industry,unigrama,13,1.74
