rank,Termo,Tipo,Ocorrências,Por 1.000 tokens
1,AI,unigrama,336,29.71
2,Technology,unigrama,156,13.8
3,Development,unigrama,140,12.38
4,System,unigrama,130,11.5
5,Intelligent,unigrama,120,10.61
6,Research,unigrama,116,10.26
7,Smart,unigrama,82,7.25
8,Application,unigrama,79,6.99
9,Platform,unigrama,69,6.1
10,Promote,unigrama,68,6.01
11,Strengthen,unigrama,65,5.75
12,Service,unigrama,61,5.39
13,Theory,unigrama,61,5.39
14,Innovation,unigrama,61,5.39
15,Intelligence,unigrama,60,5.31
16,Establish,unigrama,50,4.42
17,Computing,unigrama,50,4.42
18,National,unigrama,45,3.98
19,Develop,unigrama,45,3.98
20,Enterprise,unigrama,44,3.89
21,Focus,unigrama,43,3.8
22,Social,unigrama,42,3.71
23,Construction,unigrama,39,3.45
24,Learning,unigrama,38,3.36
25,Data,unigrama,37,3.27
26,Autonomous,unigrama,36,3.18
27,Build,unigrama,36,3.18
28,Industry,unigrama,36,3.18
29,Model,unigrama,36,3.18
30,Breakthrough,unigrama,36,3.18
31,Science,unigrama,36,3.18
32,Basic,unigrama,36,3.18
33,Knowledge,unigrama,35,3.1
34,Security,unigrama,34,3.01
35,Product,unigrama,33,2.92
36,Management,unigrama,32,2.83
37,Talent,unigrama,31,2.74
38,Core,unigrama,31,2.74
39,Enhance,unigrama,29,2.56
40,Technological,unigrama,28,2.48
41,Method,unigrama,28,2.48
42,Generation,unigrama,27,2.39
43,Control,unigrama,27,2.39
44,Achieve,unigrama,27,2.39
45,Scientific,unigrama,26,2.3
46,Plan,unigrama,26,2.3
47,Infrastructure,unigrama,26,2.3
48,Accelerate,unigrama,26,2.3
49,Encourage,unigrama,25,2.21
50,Industrial,unigrama,25,2.21
