rank,Termo,Tipo,Ocorrências,Por 1.000 tokens,Presente c/ ênfase em N docs
1,Country,unigrama,65,3.7867754150888437,3
2,Artificial,unigrama,65,3.7867754150888437,2
3,Artificial Intelligence,bigrama,63,3.6702592484707255,2
4,Solution,unigrama,59,3.4372269152344885,3
5,Program,unigrama,53,3.0876784153801338,2
6,Impact,unigrama,40,2.330323332362365,3
7,Center,unigrama,39,2.272065249053306,3
8,Reduction,unigrama,37,2.1555490824351877,1
9,Aim,unigrama,36,2.0972909991261286,3
10,Social,unigrama,34,1.9807748325080108,3
11,Improvement,unigrama,34,1.9807748325080108,2
12,Government,unigrama,34,1.9807748325080108,3
13,Sustainable,unigrama,31,1.806000582580833,1
14,Digital,unigrama,31,1.806000582580833,3
15,Responsible,unigrama,31,1.806000582580833,1
