rank,Termo,Tipo,Ocorrências,Por 1.000 tokens
1,AI,unigrama,545,31.75
2,Development,unigrama,166,9.67
3,Public,unigrama,109,6.35
4,National,unigrama,106,6.18
5,Data,unigrama,84,4.89
6,Technology,unigrama,84,4.89
7,Technological,unigrama,78,4.54
8,Increase,unigrama,74,4.31
9,Use,unigrama,74,4.31
10,Innovation,unigrama,72,4.19
11,Action,unigrama,71,4.14
12,Country,unigrama,65,3.79
13,Intelligence,unigrama,65,3.79
14,Artificial,unigrama,65,3.79
15,Challenge,unigrama,64,3.73
16,Artificial Intelligence,bigrama,63,3.67
17,Sector,unigrama,62,3.61
18,System,unigrama,62,3.61
19,Service,unigrama,59,3.44
20,Solution,unigrama,59,3.44
21,Research,unigrama,58,3.38
22,Infrastructure,unigrama,56,3.26
23,Program,unigrama,53,3.09
24,Process,unigrama,52,3.03
25,Promote,unigrama,50,2.91
26,Education,unigrama,48,2.8
27,Health,unigrama,47,2.74
28,Develop,unigrama,45,2.62
29,Model,unigrama,40,2.33
30,Improve,unigrama,40,2.33
31,Impact,unigrama,40,2.33
32,Center,unigrama,39,2.27
33,Potential,unigrama,39,2.27
34,Strategic,unigrama,39,2.27
35,Application,unigrama,38,2.21
36,Global,unigrama,37,2.16
37,Training,unigrama,37,2.16
38,Reduction,unigrama,37,2.16
39,Governance,unigrama,36,2.1
40,Aim,unigrama,36,2.1
41,Management,unigrama,35,2.04
42,Social,unigrama,34,1.98
43,Improvement,unigrama,34,1.98
44,Government,unigrama,34,1.98
45,Resource,unigrama,33,1.92
46,Plan,unigrama,32,1.86
47,Industry,unigrama,32,1.86
48,Capacity,unigrama,32,1.86
49,Sustainable,unigrama,31,1.81
50,Digital,unigrama,31,1.81
