# RESUMO DAS ESTATÍSTICAS GERAIS DA ANÁLISE DIPLOMÁTICA MRE BRASIL-CHINA
# Total de Notas Analisadas;2040
# Total de Notas Selecionadas (Relevantes);45
# Total de Notas Descartadas (Superficiais/Irrelevantes);1995

ID;Título;Data;Status de Seleção;Temática Central;Justificativa do Descarte;Revisão Necessária;Detalhes da Revisão
1;Carta do Presidente da República e do diretor-geral da OMS sobre anexo ao Acordo de Pandemias – Nota Conjunta MRE/MS;15/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
2;Participação do Presidente Luiz Inácio Lula da Silva na Cúpula do G7, em Évian-Les-Bains, França – 16 e 17 de junho de 2026;15/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
3;Ato assinado por ocasião da visita da Vice-Presidenta Executiva da Comissão Europeia para Soberania Digital, Segurança e Democracia, Henna Virkkunen;12/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
4;Parceria Digital Brasil-União Europeia — Nota Conjunta MRE/MGI;11/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
5;Reconhecimento do Brasil como país livre de febre aftosa sem vacinação pela Rússia – Nota Conjunta MRE/MAPA;11/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
6;Videoconferência entre o Presidente Luiz Inácio Lula da Silva e a Presidenta do México, Claudia Sheinbaum;10/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
7;Terremoto em Mindanao, Filipinas;09/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
8;Abertura de mercados para o Brasil em 13 parceiros comerciais – Nota Conjunta MRE/MAPA;09/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
9;Falecimento do diplomata aposentado Sergio Mauricio da Costa Palazzo;09/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
10;Eleição de novos membros não permanentes do Conselho de Segurança das Nações Unidas;08/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
11;Eleição do presidente da 81ª sessão da Assembleia Geral das Nações Unidas;08/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
12;Novos ataques à UNIFIL;05/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
13;Eleição do Brasil para o ECOSOC;04/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
14;Visita do Ministro Mauro Vieira ao Grão-Ducado de Luxemburgo – 5 de junho de 2026;04/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
15;Participação do Ministro Mauro Vieira em reuniões ministeriais da OCDE e da OMC — Paris, 3 e 4 de junho;03/06/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
16;Reconhecimento de todo o território brasileiro como livre de febre aftosa pela China - Nota Conjunta MRE/MAPA;02/06/2026;Selecionada;Comércio Exterior e Sanidade Agropecuária Bilateral;N/A;Não;
17;Visita do Ministro das Relações Exteriores a Pequim para realizar a reunião do V Diálogo Estratégico Global (DEG) Brasil-China – 1° e 2 de junho;31/05/2026;Selecionada;Diálogo Político-Diplomático Bilateral e Parceria Estratégica Global;N/A;Não;
18;Parecer consultivo da Corte Internacional de Justiça sobre o direito de greve;30/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
19;Terceiro aniversário do Consenso de Brasília;30/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
20;X Rodada Negociadora MERCOSUL-Canadá — Nota Conjunta MRE/MDIC/MAPA;30/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
21;Cooperação Humanitária com a Bolívia - Nota Conjunta MRE/MD/MDA/MDS;29/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
22;Assinatura de Termos de Referência para negociação de Acordo Comercial de Alcance Parcial entre Brasil e Suriname – Nota Conjunta MRE/MDIC;29/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
23;Declaração Conjunta dos Presidentes da República Federativa do Brasil e da República do Suriname;29/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
24;Atos adotados por ocasião da visita da Presidenta do Suriname - Brasília, 28/5/2026;28/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
25;Visita da Presidenta do Suriname, Jennifer Geerlings-Simons – Brasília, 28 e 29 de maio de 2026;27/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
26;13ª Reunião da Comissão Intergovernamental Brasil–Rússia de Cooperação Econômica, Comercial, Científica e Tecnológica (CIC);25/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
27;Lançamento do “Guia Consular da Torcida Brasileira – Copa do Mundo 2026”;25/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
28;Aprovação de resolução da AGNU sobre a opinião consultiva da CIJ sobre Obrigações dos Estados a respeito da Mudança do Clima;23/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
29;Explosão em mina na China;23/05/2026;Descartada;N/A;Nota protocolar de condolências/solidariedade por desastre/acidente em mina na China, sem conteúdo de agenda diplomática bilateral ou multilateral.;Não;
30;Curso de Formação “Parcerias entre Países Amazônicos: Transformação dos Sistemas Alimentares e Ação Climática”;22/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
31;Tratamento degradante aos participantes da Flotilha Global Sumud;20/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
32;Aberturas de mercado para o Brasil na Costa Rica, no México e na Nicarágua - Nota Conjunta MRE/MAPA;20/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
33;Resultado do Concurso Gilberto Chateaubriand de Arte Contemporânea;20/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
34;Declaração Conjunta sobre sobre os Ataques Israelenses à Flotilha Global Sumud, em 18 de maio de 2026;18/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
35;Visita do Ministro Mauro Vieira ao Japão para o Diálogo Estratégico de Chanceleres;18/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
36;Visita do Ministro Mauro Vieira ao Japão - Tóquio, 18 de maio;17/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
37;Reunião de Ministros das Relações Exteriores do BRICS – Nova Delhi, 14 e 15 de maio de 2026;13/05/2026;Descartada;N/A;Ausência de menção à China ou a termos de relacionamento diplomático com a China.;Não;
